Date,Monthly Total Precipitation (in),Monthly Average Mean Temperature (degF),Monthly Total Snowfall (in),City,ID
1959-01,,-12.82,0.1,Delta Junction,USW00026415
1959-02,0.65,11.71,8.5,Delta Junction,USW00026415
1959-03,0.33,-3.79,3.3,Delta Junction,USW00026415
1959-04,0.09,26.5,0.9,Delta Junction,USW00026415
1959-05,2.04,46.24,,Delta Junction,USW00026415
1959-06,1.71,59.18,0,Delta Junction,USW00026415
1959-07,3.18,55.32,0,Delta Junction,USW00026415
1959-08,1.72,53.53,0,Delta Junction,USW00026415
1959-09,1.92,42.93,2.8,Delta Junction,USW00026415
1959-10,0.5,23.79,2.4,Delta Junction,USW00026415
1959-11,0.29,11.67,5.7,Delta Junction,USW00026415
1959-12,0.18,-4.74,1.8,Delta Junction,USW00026415
1960-01,0.33,2.4,5.3,Delta Junction,USW00026415
1960-02,0.24,14.02,3.6,Delta Junction,USW00026415
1960-03,0.14,4.74,1.5,Delta Junction,USW00026415
1960-04,0.19,28.2,1.4,Delta Junction,USW00026415
1960-05,0.82,51.58,0.1,Delta Junction,USW00026415
1960-06,1.83,54.43,0,Delta Junction,USW00026415
1960-07,2.55,59.16,0,Delta Junction,USW00026415
1960-08,2.45,54.76,0,Delta Junction,USW00026415
1960-09,1.07,40.5,2.1,Delta Junction,USW00026415
1960-10,0.55,25.48,5,Delta Junction,USW00026415
1960-11,0.45,2.53,5.4,Delta Junction,USW00026415
1960-12,0.32,13.23,3.2,Delta Junction,USW00026415
1961-01,,6,,Delta Junction,USW00026415
1961-02,0.17,-0.27,2.6,Delta Junction,USW00026415
1961-03,0.04,2.71,0.5,Delta Junction,USW00026415
1961-04,0.28,26.1,2.7,Delta Junction,USW00026415
1961-05,1.38,47.29,0.4,Delta Junction,USW00026415
1961-06,4.92,55.68,0,Delta Junction,USW00026415
1961-07,1.86,58.21,0,Delta Junction,USW00026415
1961-08,3.66,54.35,0,Delta Junction,USW00026415
1961-09,1.66,43.42,4.5,Delta Junction,USW00026415
1961-10,1.21,19.4,13.6,Delta Junction,USW00026415
1961-11,0.57,0.22,6.4,Delta Junction,USW00026415
1961-12,0.41,-21.79,5.7,Delta Junction,USW00026415
1962-01,0.71,-1.81,9,Delta Junction,USW00026415
1962-02,0.21,8.88,3.3,Delta Junction,USW00026415
1962-03,0.63,9.1,8.6,Delta Junction,USW00026415
1962-04,0.62,30.35,8.6,Delta Junction,USW00026415
1962-05,1.75,42.77,0.4,Delta Junction,USW00026415
1962-06,4.41,55.7,0,Delta Junction,USW00026415
1962-07,1.39,61.15,0,Delta Junction,USW00026415
1962-08,2.61,56.02,,Delta Junction,USW00026415
1962-09,0.92,41.08,,Delta Junction,USW00026415
1962-10,0.03,30.68,0.3,Delta Junction,USW00026415
1962-11,0.08,8.3,0.8,Delta Junction,USW00026415
1962-12,0.48,-1.16,4.3,Delta Junction,USW00026415
1963-01,0.77,4.47,7.1,Delta Junction,USW00026415
1963-02,0.38,7.48,3.9,Delta Junction,USW00026415
1963-03,0.81,10.52,9.3,Delta Junction,USW00026415
1963-04,1.86,25.22,2.7,Delta Junction,USW00026415
1963-05,0.45,47.66,,Delta Junction,USW00026415
1963-06,1.85,51.77,,Delta Junction,USW00026415
1963-07,2.07,58.45,0,Delta Junction,USW00026415
1963-08,0.94,56.02,0,Delta Junction,USW00026415
1963-09,0.56,45.38,0,Delta Junction,USW00026415
1963-10,0.64,27.34,1.4,Delta Junction,USW00026415
1963-11,0.1,-8.55,2.8,Delta Junction,USW00026415
1963-12,0.22,12.89,3.5,Delta Junction,USW00026415
1964-01,0.09,-4.95,1.9,Delta Junction,USW00026415
1964-02,0.1,7.85,2.1,Delta Junction,USW00026415
1964-03,0.25,3.11,5.4,Delta Junction,USW00026415
1964-04,0.35,26.13,9,Delta Junction,USW00026415
1964-05,0.23,37.24,2.8,Delta Junction,USW00026415
1964-06,0.9,57.73,0,Delta Junction,USW00026415
1964-07,2.47,58.66,0,Delta Junction,USW00026415
1964-08,0.75,54.19,0,Delta Junction,USW00026415
1964-09,1.45,44.4,,Delta Junction,USW00026415
1964-10,0.17,30.91,1.7,Delta Junction,USW00026415
1964-11,1.12,7.82,19.7,Delta Junction,USW00026415
1964-12,0.84,-22.45,13.2,Delta Junction,USW00026415
1965-01,0.07,-6.79,0.7,Delta Junction,USW00026415
1965-02,0.14,-8.39,4.4,Delta Junction,USW00026415
